Date,Open,High,Low,Close,Volume
27-Feb-09,15.71,17.18,15.70,16.70,15832323
26-Feb-09,17.47,17.67,16.65,16.70,15043984
25-Feb-09,17.54,17.92,17.15,17.64,12999901
24-Feb-09,17.31,18.33,17.22,18.17,12866486
23-Feb-09,18.09,18.09,16.90,17.09,14266179
20-Feb-09,18.98,19.15,17.70,18.04,21630019
19-Feb-09,20.46,20.50,19.48,19.54,10428823
18-Feb-09,20.33,20.69,20.07,20.39,7409892
17-Feb-09,20.08,20.69,19.80,20.40,9782624
13-Feb-09,20.96,21.37,20.85,21.10,8147376
12-Feb-09,19.95,21.26,19.78,21.22,12830934
11-Feb-09,20.43,20.86,19.90,20.31,7637811
10-Feb-09,21.32,21.42,20.28,20.48,10924426
9-Feb-09,22.00,22.01,21.10,21.42,7246414
6-Feb-09,20.93,21.80,20.81,21.70,9851821
5-Feb-09,19.64,21.04,19.44,20.91,11326822
4-Feb-09,19.62,20.35,19.53,19.88,9636926
3-Feb-09,19.69,19.76,19.13,19.70,7938627
2-Feb-09,19.41,19.70,18.96,19.58,8305434
30-Jan-09,20.26,20.33,19.21,19.31,8970665
29-Jan-09,20.60,20.91,19.61,20.05,7695034
28-Jan-09,20.71,21.20,20.34,20.89,7158689
27-Jan-09,19.74,20.38,19.53,20.11,6385451
26-Jan-09,19.95,20.44,19.67,19.93,6139541
23-Jan-09,19.00,20.10,18.70,19.70,10483759
22-Jan-09,19.84,20.25,19.06,19.32,13904203
21-Jan-09,19.88,20.97,19.74,20.96,9536907
20-Jan-09,21.10,21.10,19.34,19.39,8847055
16-Jan-09,21.11,21.53,20.47,21.06,8056222
15-Jan-09,21.04,21.30,20.45,20.83,10008521
14-Jan-09,22.09,22.16,20.95,21.11,8298015
13-Jan-09,22.97,23.22,21.75,22.10,14001299
12-Jan-09,24.07,24.35,23.60,23.76,7057256
9-Jan-09,23.99,24.50,23.42,24.01,6928274
8-Jan-09,24.01,24.38,23.63,24.29,6207342
7-Jan-09,23.57,24.81,23.51,24.23,12785603
6-Jan-09,23.07,24.45,23.07,24.22,7032433
5-Jan-09,22.52,23.31,22.50,23.13,7385533
2-Jan-09,21.11,23.10,21.07,23.02,6673430
1-Jan-09,21.29,21.29,21.29,21.29,0
31-Dec-08,20.85,21.60,20.85,21.29,4066956
30-Dec-08,20.60,21.06,20.38,21.05,4911206
29-Dec-08,21.11,21.15,20.01,20.52,4959067
26-Dec-08,21.17,21.25,20.87,21.08,1942611
25-Dec-08,21.13,21.13,21.13,21.13,0
24-Dec-08,20.75,21.18,20.71,21.13,1426616
23-Dec-08,21.23,21.42,20.80,20.97,4399020
22-Dec-08,21.97,21.98,20.66,21.11,5273408
19-Dec-08,21.40,22.30,21.13,22.13,8446987
18-Dec-08,21.84,22.09,21.01,21.38,8861121
17-Dec-08,24.04,24.04,21.32,21.69,15258792
16-Dec-08,22.13,22.42,20.92,22.32,10817013
15-Dec-08,22.56,22.72,20.83,21.36,8273380
12-Dec-08,21.95,22.53,21.33,22.43,6290677
11-Dec-08,23.37,23.56,22.00,22.19,6444038
10-Dec-08,23.26,23.88,22.78,23.44,5825816
9-Dec-08,22.45,23.92,22.39,22.89,7419259
8-Dec-08,21.85,23.00,21.85,22.60,7912016
5-Dec-08,20.45,21.84,19.49,21.66,11494715
4-Dec-08,20.91,21.66,20.00,20.44,18690561
3-Dec-08,21.73,22.57,21.39,22.54,7306293
2-Dec-08,21.41,22.25,21.01,22.00,7201324
1-Dec-08,22.71,22.86,20.95,21.00,8593397
28-Nov-08,22.87,23.43,22.75,23.16,4564006
27-Nov-08,23.35,23.35,23.35,23.35,0
26-Nov-08,21.63,23.59,21.63,23.35,9062183
25-Nov-08,21.97,22.78,21.50,22.42,13829035
24-Nov-08,21.84,22.42,21.29,21.73,12915619
21-Nov-08,21.10,21.41,19.85,21.38,13488927
20-Nov-08,21.37,22.79,20.71,20.75,10482981
19-Nov-08,22.54,23.87,21.60,21.63,9298782
18-Nov-08,22.73,23.16,21.77,22.64,8217162
17-Nov-08,21.91,23.41,21.51,22.80,10717692
14-Nov-08,23.99,24.36,22.14,22.34,11111490
13-Nov-08,21.68,24.38,21.12,24.30,11852511
12-Nov-08,22.98,23.41,21.84,21.89,11727879
11-Nov-08,24.77,24.91,23.45,23.64,7489708
10-Nov-08,25.78,25.84,24.68,24.93,4797746
7-Nov-08,24.92,25.39,24.07,24.59,7404100
6-Nov-08,26.76,26.90,24.30,24.56,9718400
5-Nov-08,28.96,29.08,27.06,27.22,8250100
4-Nov-08,27.73,29.28,27.50,29.16,8804700
3-Nov-08,26.79,27.30,26.13,27.16,4955300
31-Oct-08,27.00,27.21,26.29,26.64,7465600
30-Oct-08,27.41,27.88,26.25,26.86,8999600
29-Oct-08,27.39,27.95,26.65,26.80,10098400
28-Oct-08,24.23,27.15,23.93,27.08,10029200
27-Oct-08,23.44,24.74,22.83,23.68,8104200
24-Oct-08,23.00,24.63,22.88,23.89,10348700
23-Oct-08,25.50,25.60,23.41,24.97,10612600
22-Oct-08,27.09,27.16,24.56,25.40,9438300
21-Oct-08,29.00,29.65,27.45,27.59,6858400
20-Oct-08,27.99,29.38,27.79,29.31,5189000
17-Oct-08,27.20,31.09,26.83,28.18,9629500
16-Oct-08,26.00,28.21,24.45,27.69,11822700
15-Oct-08,29.82,29.82,25.94,25.94,8110600
14-Oct-08,31.33,31.45,28.86,29.20,8962200
13-Oct-08,29.38,30.73,28.68,30.38,11860400
10-Oct-08,26.65,28.88,25.63,27.12,13690800
9-Oct-08,31.20,31.27,27.71,27.99,10725400
8-Oct-08,28.86,31.19,28.43,30.00,13848000
7-Oct-08,31.16,31.69,28.69,28.69,11108400
6-Oct-08,31.93,33.45,29.41,30.71,16928500
3-Oct-08,34.83,36.19,33.59,33.69,10904900
2-Oct-08,37.88,37.90,35.11,35.22,8989300
1-Oct-08,39.42,39.42,37.91,38.12,6197800
30-Sep-08,36.72,39.53,36.49,39.47,9835500
29-Sep-08,38.43,38.81,35.98,36.15,9420000
26-Sep-08,39.18,40.10,38.92,39.99,4738500
25-Sep-08,40.03,40.38,39.55,39.83,4959600
24-Sep-08,39.06,40.01,39.00,39.45,4483000
23-Sep-08,39.61,40.26,38.70,38.85,6271600
22-Sep-08,40.78,41.00,39.17,39.23,4808000
19-Sep-08,40.65,41.39,38.00,40.94,10072900
18-Sep-08,37.66,45.26,37.17,39.65,11612000
17-Sep-08,39.05,39.69,36.23,36.23,12277000
16-Sep-08,38.51,39.15,36.15,38.14,11096400
15-Sep-08,40.40,40.40,38.08,38.08,9517800
12-Sep-08,40.90,40.90,39.90,40.47,7881800
11-Sep-08,40.25,41.10,40.04,41.05,5406900
10-Sep-08,41.35,41.35,40.45,40.73,4733100
9-Sep-08,41.87,42.47,40.75,40.79,5795600
8-Sep-08,40.49,41.73,40.22,41.61,6991400
5-Sep-08,41.37,41.83,40.50,40.91,10722000
4-Sep-08,43.67,43.99,42.19,42.19,6104100
3-Sep-08,42.92,43.47,42.60,43.14,5195500
2-Sep-08,43.83,44.16,42.59,42.85,6229100
29-Aug-08,43.97,44.01,42.75,42.83,6597500
28-Aug-08,44.27,44.74,44.07,44.31,4001100
27-Aug-08,43.50,44.61,43.46,44.15,3619300
26-Aug-08,43.73,43.84,43.12,43.36,4677500
25-Aug-08,44.52,44.75,43.50,43.67,4123600
22-Aug-08,44.88,45.09,44.50,44.91,3974700
21-Aug-08,43.76,44.78,43.44,44.51,5231500
20-Aug-08,44.03,44.72,43.66,44.28,3952700
19-Aug-08,43.97,44.75,43.40,43.73,5106500
18-Aug-08,44.79,44.97,43.75,44.10,7268100
15-Aug-08,45.56,45.87,44.65,45.11,4329400
14-Aug-08,45.48,45.69,45.01,45.36,6484500
13-Aug-08,45.62,46.44,45.42,45.89,5147000
12-Aug-08,45.91,46.44,45.54,45.62,7880300
11-Aug-08,45.15,46.04,44.82,45.89,5947700
8-Aug-08,43.40,45.34,43.34,45.15,8481700
7-Aug-08,43.07,43.95,42.93,43.22,5804900
6-Aug-08,43.10,43.77,42.61,43.53,6056300
5-Aug-08,41.35,43.41,41.33,43.34,8155600
4-Aug-08,41.44,41.64,40.61,41.29,3535100
1-Aug-08,41.78,41.78,40.28,41.22,5747400
31-Jul-08,40.93,41.93,40.58,41.35,6129700
30-Jul-08,41.34,41.68,40.62,41.22,4938100
29-Jul-08,40.24,41.32,40.17,41.01,5550900
28-Jul-08,40.80,41.05,39.72,39.96,3805600
25-Jul-08,41.07,41.42,40.60,40.90,5051800
24-Jul-08,41.00,41.27,40.43,40.72,5416400
23-Jul-08,40.72,42.34,40.63,41.82,9226700
22-Jul-08,40.90,40.96,39.60,40.30,9875500
21-Jul-08,41.87,41.94,40.70,41.16,4989000
18-Jul-08,41.17,42.19,40.75,41.98,6062500
17-Jul-08,40.93,41.71,40.65,41.54,5074800
16-Jul-08,39.77,41.10,39.50,41.05,6386900
15-Jul-08,39.09,40.53,37.75,39.83,10618200
14-Jul-08,39.88,39.88,38.37,38.38,6909600
11-Jul-08,39.10,40.20,38.69,39.24,6835200
10-Jul-08,38.29,39.76,38.23,39.61,7030900
9-Jul-08,39.49,39.74,38.22,38.23,6077900
8-Jul-08,39.46,39.78,38.73,39.64,8110800
7-Jul-08,39.79,40.86,38.81,39.72,8446200
3-Jul-08,40.28,40.65,39.81,40.39,3327400
2-Jul-08,40.54,41.30,39.81,39.81,6918000
1-Jul-08,39.23,40.41,39.00,40.38,9746500
30-Jun-08,39.63,39.99,39.28,39.39,6210900
27-Jun-08,40.94,40.94,39.50,39.80,10909100
26-Jun-08,41.89,41.93,40.78,40.83,6757600
25-Jun-08,41.78,42.70,41.50,42.34,5962300
24-Jun-08,40.86,41.81,40.70,41.38,6661000
23-Jun-08,40.90,40.91,40.12,40.37,4852900
20-Jun-08,41.54,41.76,40.33,40.55,8059200
19-Jun-08,40.78,42.19,40.34,42.00,5611800
18-Jun-08,40.81,41.54,40.71,40.94,6096500
17-Jun-08,41.83,42.65,41.36,41.40,8744300
16-Jun-08,42.32,43.11,42.08,42.85,5921000
13-Jun-08,41.92,43.15,41.73,42.71,5838700
12-Jun-08,40.88,41.59,40.60,40.99,5212100
11-Jun-08,41.55,41.94,40.65,40.77,6373600
10-Jun-08,42.36,42.36,41.47,41.74,5460400
9-Jun-08,42.58,42.75,41.66,42.47,4438600
6-Jun-08,43.60,43.60,42.30,42.30,5826200
5-Jun-08,43.48,44.01,42.80,43.89,7047100
4-Jun-08,43.60,44.66,43.31,44.25,4644100
3-Jun-08,43.42,44.21,43.00,43.53,5104200
2-Jun-08,43.97,44.24,42.76,43.46,4930800
30-May-08,43.96,44.38,43.68,44.06,5521500
29-May-08,42.75,44.08,42.75,43.80,6514800
28-May-08,43.00,43.00,42.30,42.84,5551000
27-May-08,41.16,42.10,41.05,41.99,3880900
23-May-08,40.88,41.53,40.88,41.25,3592800
22-May-08,40.88,41.66,40.82,41.40,3334400
21-May-08,41.58,41.96,40.80,40.95,5339400
20-May-08,41.44,42.02,41.02,41.66,6563400
19-May-08,42.11,43.23,42.04,42.60,7093700
16-May-08,42.17,42.45,41.71,42.26,5948900
15-May-08,40.82,42.08,40.60,42.00,6279600
14-May-08,40.71,41.51,40.59,40.94,4741400
13-May-08,40.44,40.75,39.80,40.59,4606900
12-May-08,39.83,40.50,39.35,40.44,4125100
9-May-08,39.63,40.17,39.25,39.89,2737400
8-May-08,39.49,40.15,39.11,40.00,5242400
7-May-08,40.25,40.58,39.11,39.24,5179800
6-May-08,40.15,40.45,39.53,40.25,4756100
5-May-08,40.39,40.47,39.79,40.15,5686800
2-May-08,39.23,40.41,39.12,40.38,8781000
1-May-08,38.34,39.22,37.90,39.01,7070500
30-Apr-08,37.79,38.10,37.28,37.29,4649700
29-Apr-08,37.00,37.94,36.93,37.76,5376700
28-Apr-08,37.02,37.51,36.65,37.18,4898400
25-Apr-08,37.41,37.58,36.32,36.89,4434800
24-Apr-08,36.77,37.79,36.41,37.43,5744600
23-Apr-08,36.50,36.91,36.21,36.83,5983200
22-Apr-08,36.73,36.74,35.61,36.17,8017300
21-Apr-08,36.06,36.73,35.85,36.66,4973300
18-Apr-08,36.99,36.99,36.08,36.27,8714700
17-Apr-08,36.61,36.93,35.66,36.07,5570800
16-Apr-08,36.10,36.54,35.46,36.42,10147200
15-Apr-08,36.29,36.54,35.36,35.75,7932800
14-Apr-08,35.95,36.62,35.73,36.29,5459900
11-Apr-08,37.00,37.00,35.88,35.98,7023700
10-Apr-08,36.08,37.19,36.00,37.09,8276800
9-Apr-08,36.90,36.94,35.99,36.32,4243700
8-Apr-08,36.64,37.19,36.51,36.83,4399900
7-Apr-08,36.83,37.45,36.80,36.92,5691400
4-Apr-08,37.00,37.35,36.63,36.97,5055800
3-Apr-08,36.49,37.11,36.32,37.01,6007400
2-Apr-08,37.38,37.52,36.20,36.50,8511800
1-Apr-08,36.56,37.32,36.37,37.25,9138500
31-Mar-08,35.69,35.90,35.30,35.59,7306000
28-Mar-08,36.12,36.63,35.20,35.33,6947500
27-Mar-08,37.12,37.12,35.68,35.68,7246900
26-Mar-08,36.51,37.34,35.96,37.20,11190500
25-Mar-08,36.58,36.65,35.81,36.54,8418400
24-Mar-08,34.64,36.49,34.51,36.10,10620900
20-Mar-08,34.82,35.50,34.25,34.45,11928100
19-Mar-08,33.78,36.13,33.76,34.75,24704500
18-Mar-08,31.53,31.90,31.10,31.88,11389100
17-Mar-08,32.00,32.49,30.70,30.79,14735900
14-Mar-08,32.81,33.71,32.24,32.61,7017700
13-Mar-08,32.98,33.59,32.52,33.30,5581600
12-Mar-08,33.17,34.23,32.89,33.34,7902800
11-Mar-08,32.25,32.61,31.79,32.60,9593700
10-Mar-08,32.60,32.99,31.92,31.94,8048900
7-Mar-08,32.59,33.28,32.04,32.55,7133200
6-Mar-08,32.40,33.11,32.21,32.47,7332900
5-Mar-08,33.00,33.08,32.01,32.42,10659200
4-Mar-08,32.84,33.12,32.43,33.07,7887000
3-Mar-08,33.49,33.68,32.53,32.86,12414000
29-Feb-08,34.91,34.92,33.48,33.65,11963800
